record_id,title,agency,type,release_date,status,asset_url,asset_filename,dvids_video_id,local_exact_filename_match
DOW-UAP-PR050,"DOW-UAP-PR050, ""4 UAP Formation Iran 26 Aug 2022 over water [CALLSIGN]""",Department of War,VID,5/22/26,new,,,1007706,
DOW-UAP-PR051,"DOW-UAP-PR051, ""Syrian UAP instant acceleration""",Department of War,VID,5/22/26,new,,,1007707,
DOW-UAP-D017,"DOW-UAP-D017, UAP Reported at Sandia Base, 1948-1950",Department of War,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,DOW-UAP-D017_General_Correspondence_Of_Sandia.pdf,,no
CIA-UAP-D001,"CIA-UAP-D001, Intelligence Information Report, USSR, 1973",Central Intelligence Agency,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,CIA-UAP-D001_Intelligence_Information_Report_USSR_1973.pdf,,no
ODNI-UAP-D001,"ODNI-UAP-D001, USPER Narrative, Senior USIC Official",Office of the Director of National Intelligence,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,ODNI-UAP-D001_USPER_Narrative_Senior_USIC.pdf,,no
NASA-UAP-D008,"NASA-UAP-D008, Apollo 12 Medical Debriefing - Tape 12, 1969",NASA,AUD,5/22/26,new,,,1007870,
DOE-UAP-D001,"DOE-UAP-D001, Enhanced PANTEX Imagery",Department of Energy,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D001_PANTEX_Image.pdf,DOE-UAP-D001_PANTEX_Image.pdf,,no
DOE-UAP-D002,"DOE-UAP-D002, James Tuck Correspondence, 1970s",Department of Energy,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D002_JamesTuck_Correspondence.pdf,DOE-UAP-D002_JamesTuck_Correspondence.pdf,,no
DOE-UAP-D003,"DOE-UAP-D003, Pajarito Astronomers Invitation, 1986",Department of Energy,PDF,5/22/26,new,https://www.war.gov/medialink/ufo/052226/release_02/documents/DOE-UAP-D003_Pajarito_Astronomers.pdf,DOE-UAP-D003_Pajarito_Astronomers.pdf,,no
DOW-UAP-PR052,"DOW-UAP-PR052, ""UAP USO Formation [CALLSIGN] (Mission)""",Department of War,VID,5/22/26,new,,,1007708,
DOW-UAP-PR053,"DOW-UAP-PR053, ""Cigar Shaped or Fast Sherical UAP clip 15 OCT 22""",Department of War,VID,5/22/26,new,,,1007709,
DOW-UAP-PR054,"DOW-UAP-PR054, ""Spherical UAP Erratic movement [CALLSIGN] (Mission) 2022""",Department of War,VID,5/22/26,new,,,1007711,
DOW-UAP-PR055,"DOW-UAP-PR055, ""Spherical UAP over AFG in and out of clouds 23 Nov 2020""",Department of War,VID,5/22/26,new,,,1007713,
DOW-UAP-PR056,"DOW-UAP-PR056, ""Spherical UAP pulsing over water [CALLSIGN]""",Department of War,VID,5/22/26,new,,,1007718,
DOW-UAP-PR057A,"DOW-UAP-PR057a, ""Spherical UAP in clouds""",Department of War,VID,5/22/26,new,,,1007720,
DOW-UAP-PR057B,"DOW-UAP-PR057b, ""[Platform] Observes UAP in East China Sea 05 JAN 2023 INDOPACOM""",Department of War,VID,5/22/26,new,,,1007720,
DOW-UAP-PR058,"DOW-UAP-PR058, ""[CALLSIGN] (Mission) UAP""",Department of War,VID,5/22/26,new,,,1007723,
DOW-UAP-PR059,"DOW-UAP-PR059, ""NAG UAP 1 Jun 20""",Department of War,VID,5/22/26,new,,,1007727,
DOW-UAP-PR060,"DOW-UAP-PR060, ""Spherical UAP [CALLSIGN] 2021/04/12 obj 2""",Department of War,VID,5/22/26,new,,,1007734,
DOW-UAP-PR061,"DOW-UAP-PR061, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 0""",Department of War,VID,5/22/26,new,,,1007735,
DOW-UAP-PR062,"DOW-UAP-PR062, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 1""",Department of War,VID,5/22/26,new,,,1007739,
DOW-UAP-PR063,"DOW-UAP-PR063, ""Spherical UAP [CALLSIGN] 2021/04/12 vid 2""",Department of War,VID,5/22/26,new,,,1007740,
DOW-UAP-PR064,"DOW-UAP-PR064, ""AFSOC Kabul UAP Jul 2017""",Department of War,VID,5/22/26,new,,,1007741,
DOW-UAP-PR065,"DOW-UAP-PR065, ""USCG C-144 Tyndall UAP 2 TIC TAC IR hot 24 April 2024""",Department of War,VID,5/22/26,new,,,1007777,
DOW-UAP-PR066,"DOW-UAP-PR066, ""USCG C-144 Tyndall UAP 1 TIC TAC IR hot 24 April 2024""",Department of War,VID,5/22/26,new,,,1007778,
DOW-UAP-PR067,"DOW-UAP-PR067, ""Multiple Spherical UAP USO near Sub. [CALLSIGN] 2022/03/25 in and out of water""",Department of War,VID,5/22/26,new,,,1007779,
DOW-UAP-PR068,"DOW-UAP-PR068, ""IIR 1 666 S0151 23/Video Footage of Unidentified Aerial Phenomenon (UAP) captured by fifth generation aircraft on 20 Jan 23""",Department of War,VID,5/22/26,new,,,1007780,
DOW-UAP-PR069,"DOW-UAP-PR069, ""F/A-18 FLIR UAP""",Department of War,VID,5/22/26,new,,,1007781,
DOW-UAP-PR070,"DOW-UAP-PR070, ""IIR 1 655 S0301 23/Eglin AFB Aircrew Observed Unidentified Aerial Phenomena (UAP) on 13 Feb 23""",Department of War,VID,5/22/26,new,,,1007783,
DOW-UAP-PR071,"DOW-UAP-PR071, ""USAF ANG F-16C (callsign [CALLSIGN]) Shoots Down UAP over Lake Huron with [Weapon System], 12 Feb 2023""",Department of War,VID,5/22/26,new,,,1007784,
DOW-UAP-PR072,"DOW-UAP-PR072, ""ADMINISTRATIVE REVISION: IIR 1777 J0032 22 Kazakhstan - UAP in the vicinity of Karaganda International Airport""",Department of War,VID,5/22/26,new,,,1007788,
DOW-UAP-PR073,"DOW-UAP-PR073, IIR 1 655 S0053 23/Several Unidentified Aerial Phenomenon Encountered In The Vicinity of Columbus OH""",Department of War,VID,5/22/26,new,,,1007790,
DOW-UAP-PR074,"DOW-UAP-PR074, ""[CALLSIGN] (Mission)HD_20220613""",Department of War,VID,5/22/26,new,,,1007791,
DOW-UAP-PR075,"DOW-UAP-PR075, ""09JUN2021 [Platform] observed UAP in the ECS""",Department of War,VID,5/22/26,new,,,1007795,
DOW-UAP-PR076,"DOW-UAP-PR076, ""03 January 2021 [CALLSIGN] (Mission) observes UAP""",Department of War,VID,5/22/26,new,,,1007804,
DOW-UAP-PR077,"DOW-UAP-PR077, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 1 of 2""",Department of War,VID,5/22/26,new,,,1007809,
DOW-UAP-PR078,"DOW-UAP-PR078, ""2 November 2020 [CALLSIGN] [CALLSIGN] Observes and tracks UAP 2 of 2""",Department of War,VID,5/22/26,new,,,1007812,
DOW-UAP-PR079,"DOW-UAP-PR079, ""29 October 2020 [CALLSIGN] (Mission) observes 3 fast moving UAP's""",Department of War,VID,5/22/26,new,,,1007816,
DOW-UAP-PR080,"DOW-UAP-PR080, ""20 October 2020 [CALLSIGN] [CALLSIGN] Observes UAP""",Department of War,VID,5/22/26,new,,,1007803,
DOW-UAP-PR081,"DOW-UAP-PR081, ""18 Oct 2020 [CALLSIGN] observes UAP""",Department of War,VID,5/22/26,new,,,1007805,
DOW-UAP-PR082,"DOW-UAP-PR082, ""16 OCT 2020 [CALLSIGN] views UAP""",Department of War,VID,5/22/26,new,,,1007807,
DOW-UAP-PR083,"DOW-UAP-PR083, ""7 October 2020 [CALLSIGN] observes UAP""",Department of War,VID,5/22/26,new,,,1007808,
DOW-UAP-PR084,"DOW-UAP-PR084, ""17 Sept 2020 [CALLSIGN] observes UAP""",Department of War,VID,5/22/26,new,,,1007810,
DOW-UAP-PR085,"DOW-UAP-PR085, ""16 Sept 2020 [CALLSIGN] [CALLSIGN] observes UAP""",Department of War,VID,5/22/26,new,,,1007796,
DOW-UAP-PR086,"DOW-UAP-PR086, ""UAP from Dec 2019 (East Coast)""",Department of War,VID,5/22/26,new,,,1007797,
DOW-UAP-PR087,"DOW-UAP-PR087, ""05 September 2020 [CALLSIGN] UAP""",Department of War,VID,5/22/26,new,,,1007799,
DOW-UAP-PR088,"DOW-UAP-PR088, ""31 AUG [CALLSIGN] [CALLSIGN] Observes UAP""",Department of War,VID,5/22/26,new,,,1007800,
DOW-UAP-PR089,"DOW-UAP-PR089, ""31 AUG [CALLSIGN] [CALLSIGN] Observes UAP part2""",Department of War,VID,5/22/26,new,,,1007712,
DOW-UAP-PR090,"DOW-UAP-PR090, ""24 AUG 2020 [CALLSIGN] (Mission) Observes UAP""",Department of War,VID,5/22/26,new,,,1007719,
DOW-UAP-PR091,"DOW-UAP-PR091, ""21 AUG [CALLSIGN] Observes UAP in Persian Gulf""",Department of War,VID,5/22/26,new,,,1007716,
DOW-UAP-PR092,"DOW-UAP-PR092, ""08 AUG 2020 [CALLSIGN] [CALLSIGN] UAP observation""",Department of War,VID,5/22/26,new,,,1007715,
DOW-UAP-PR093,"DOW-UAP-PR093, ""May 05 2020 Gulf of Arabia [CALLSIGN] (Platform) Dual UAP""",Department of War,VID,5/22/26,new,,,1007721,
DOW-UAP-PR094,"DOW-UAP-PR094, ""[CALLSIGN] (Mission) - HD 2020-02-13""",Department of War,VID,5/22/26,new,,,1007722,
DOW-UAP-PR095,"DOW-UAP-PR095, ""May 05 2020 Gulf of Arabia [CALLSIGN] (Platform) Dual UAP""",Department of War,VID,5/22/26,new,,,1007725,
DOW-UAP-PR096,"DOW-UAP-PR096, ""HH11 03 July 2018 UAPs""",Department of War,VID,5/22/26,new,,,1007726,
DOW-UAP-PR097,"DOW-UAP-PR097, ""Hi-Res: [CALLSIGN] Observes UAP on 25SEP19 at 2135Z""",Department of War,VID,5/22/26,new,,,1007728,
DOW-UAP-PR098,"DOW-UAP-PR098, ""UFOs in formation over Persian Gulf?""",Department of War,VID,5/22/26,new,,,1007737,
DOW-UAP-PR099,"DOW-UAP-PR099, ""Hi-Res: [CALLSIGN] Observes UAP on 25SEP19 at 1715Z""",Department of War,VID,5/22/26,new,,,1007738,
NASA-UAP-D009,"NASA-UAP-D009, Apollo 17 Audio Excerpt, December 7, 1972",NASA,AUD,5/22/26,new,,,1007872,
NASA-UAP-D010,"NASA-UAP-D010, Mercury Atlas 9 Audio Excerpt, May 15, 1963",NASA,AUD,5/22/26,new,,,1007874,
NASA-UAP-D011,"NASA-UAP-D011, Mercury Atlas 9 Audio Excerpt, May 15, 1963",NASA,AUD,5/22/26,new,,,1007876,
NASA-UAP-D012,"NASA-UAP-D012, Mercury Atlas 8 Audio Excerpt, October 3, 1962",NASA,AUD,5/22/26,new,,,1007877,
NASA-UAP-D013,"NASA-UAP-D013, Mercury Atlas 7, May 24, 1962",NASA,AUD,5/22/26,new,,,1007879,
NASA-UAP-D014,"NASA-UAP-D014, Mercury-Redstone 4, July 21, 1961",NASA,AUD,5/22/26,new,,,1007878,
